"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Q86X29.3",11999.72,27836.55,126436.4,100902.3,116369.5,33027.21,82271.78,10899.05,148177.4,86554.67,0,0
"Q86X29.4",24000.11,6317.574,15117.99,24027.34,92554.93,76136.39,162360.3,135583.6,43028.04,21424.25,0,0
"Q86X53",2449,2699.881,2901.231,1916.157,5020.393,712.6753,310.539,341.9516,7686.524,3191.864,0,0
"Q86XP3",433398.9,572967.5,533220.5,434452.6,464568.5,447732.7,207613,180300.1,542558.8,663128.8,0,0
"Q86YP4",48977.7,54887.31,21465.2,17282.48,125548.5,73338.59,291107.6,283072.3,54983.85,38594.85,0,0
"Q86YP4.1",55135.27,32934.93,36083.43,40106.2,53790.78,103943.6,60678.51,74432.7,46415.41,55498.83,0,0
"Q86YP4.2",4336.384,14630.25,9939.174,5475.028,37855.85,58953.07,67328.77,85235.46,30037.48,16271.96,0,0
"Q8IU81",10626.94,9548.003,5539.983,7366.098,6682.595,3336.408,3705.928,4714.53,739.1397,6463.22,0,0
"Q8IU81.1",0,8794.534,18963.51,7531.568,17437.91,8987.04,56079.2,51822.83,25773.26,7442.243,0,0
"Q8IVF2",123361.4,127345.9,124425.7,79884.15,157970.6,79462.79,502409.6,584922.5,409552.7,354073.1,0,0
"Q8IVF2.1",0,0,0,0,0,0,81687.39,85581.13,0,0,0,0
"Q8IVF2.2",0,0,0,0,2508.282,0,110968.9,113352.3,0,0,0,0
"Q8IVF2.3",0,0,0,0,0,0,10541.03,14634.42,0,0,0,0
"Q8IVT2",147931.5,234151.6,538375.2,591211,255426.3,312485.6,368740.2,385041.6,157299.7,115770.7,0,0
"Q8IVT2.1",246233,334226.2,213356.1,160317.3,394487.6,292815.9,46089.09,68499.89,85894.82,50393.48,0,0
"Q8IVT2.2",216901.4,186906.2,156521.8,135336.5,122603.1,159573.1,200664.6,184105,75387.19,55745.26,0,0
"Q8IWW6",55158.71,68909.26,61256.75,65420.91,65691.69,104748.2,148964,142494.7,204425.9,163024.6,0,0
"Q8IWW6.1",5805.35,1863.472,10441.94,8345.819,25688.92,13767.43,306251.9,366740.2,52364.76,30676.19,0,0
"Q8IWZ8",0,0,0,0,0,0,67736.72,69492.03,3831.525,0,0,0
"Q8IYB3",191053.6,274939.1,290338,196668.3,240058.8,192107.7,82928.36,89328.13,444636.5,360378.3,0,0
"Q8IYB3.1",112634.9,149011.2,83122.56,64135.05,58235.03,59210.79,51276.48,62075.7,116181,50915.44,0,0
"Q8IYB3.2",387889.7,518441,536392.3,535771.1,300861.8,321366.1,1052661,1043976,765876.3,637369.3,0,0
"Q8IYB3.3",6263.79,12579.74,8563.424,3511.802,1501.007,0,31637.21,34855.08,2729.158,1507.293,0,0
"Q8IYB3.4",99083.42,173297.3,240640.1,134906.9,179484.8,117711.3,174537.3,175377.3,348874,238945.7,0,0
"Q8IYB3.5",46075.63,93959.4,85940.79,63135.59,28480.52,16481.85,296448.6,264377,137597.3,95166.1,0,0
"Q8IYB3.6",253994.4,276320.1,387425.5,337543.4,225302.1,275556.4,753894.5,642706,612152.7,550155.9,0,0
"Q8IYB3.7",205092.5,284138.1,194659.7,148142.9,284920.1,199932.3,150595.1,102137.6,353243.1,204726.4,0,0
"Q8IYB3.8",215609.1,236313.6,356615.6,285299.5,307137.2,29623.61,70426.53,11921.75,514654,411097,0,0
"Q8IYB3.9",5560.284,2579.078,8153.241,15825.19,3428.769,12963.44,3268.409,4104.583,10300.17,9165.215,0,0
"Q8IYB3.10",414310.5,550499.7,690430.9,521365,402205.4,356910.3,861735,841356.7,791350.4,661432.1,0,0
"Q8IZL8",108358.5,134337.2,139612.8,154293.8,148912.2,91916.87,187625.2,122192.1,201412.5,211714.2,0,0
"Q8N122",5268.857,6251.383,27384.44,17513.04,2.709122,0,20922.03,22227.06,17975.16,6434.665,0,0
"Q8N1G0",41717.24,45036.49,20427.98,27219.1,29985.26,25283.15,334535,316462.7,106334.3,94034.45,0,0
"Q8N4X5.2",4753.781,1099.809,9022.921,14324.24,2172.518,2136.545,44503.47,41049.93,101.5622,1149.679,0,0
